iso3,country,concord_label,who_region,wb_income_2014,brain_adult_5yr_pct,glioblastoma_5yr_pct,glioblastoma_flag,diffuse_anap_astro_5yr,oligodendroglioma_5yr,concord_flag_less_reliable,concord_flag_not_age_std,high_quality_subset,oop_pct_che,gov_pct_che,che_pct_gdp,che_pc_ppp_usd,nurses_per_1000,physicians_per_1000,gdp_pc_ppp_usd,log_gdp_pc_ppp_usd,life_expectancy,radiotherapy_units_per_million,radiotherapy_year,oral_morphine_available_2013,radiotherapy_meets_iaea,morphine_consumption_mg_per_capita,right_to_health_in_constitution,icescr_ratified
MYS,Malaysia,Malaysia (Penang),WPR,UMC,28.3,0.2,,,,0,1,0,33.7091169375,53.534700395,3.3624736675,746.0165857498334,3.559,1.3165,21829.300484914173,9.991008405279509,75.47,1.41333,2013,0,0,0.60,0,0
NGA,Nigeria,Nigeria (Ibadan),AFR,LMC,54.9,0.1,§,,,1,1,0,73.84342384,14.636407375000001,3.3494620325,159.09538121828476,1.132,0.363,6640.378779034825,8.800924285878839,51.58,0.07488,2013,0,0,0.04,1,1
NLD,Netherlands,Netherlands*,EUR,HIC,28.2,8.1,,33.4,60.6,0,0,1,10.0509037975,68.565704345,10.299261807499999,4893.154372888333,12.07,3.136,47395.1996955328,10.766276230308645,81.07926829268293,7.2199,2013,1,1,30.50,1,1
NOR,Norway,Norway*,EUR,HIC,36.8,6.7,,31.2,69.5,0,0,1,14.9126441475,84.72044754000001,8.797263622500001,5617.369503370435,16.97,4.21,63456.37562069632,11.058107950690182,81.37378048780488,8.13061,2013,1,1,40.78,0,1
NZL,New Zealand,New Zealand*,WPR,HIC,,12.2,,32.8,57.3,0,0,1,11.8076224325,78.27290916499999,9.086094857500001,3025.7822784945297,10.6225,2.70375,33340.47919958657,10.414527529314467,81.21829268292683,6.21427,2013,0,1,30.62,0,1
PER,Peru,Peru (Lima),AMR,UMC,,,,,,0,0,0,38.5029163325,52.85406589499999,4.66753018,495.482529198772,1.8665,1.139,10555.910660095604,9.264441234163337,73.69575,1.11932,2013,1,0,0.16,1,1
POL,Poland,Poland (16 registries)*,EUR,HIC,28.2,7.2,,25.8,39.3,0,0,1,23.89463091,70.62482643,6.3397870075,1457.28002373387,6.4835,2.2097500000000005,22990.363719016976,10.042830438380971,76.67195121951217,2.72133,2013,,1,5.25,1,1
PRI,Puerto Rico,Puerto Rico*,AMR,HIC,36.3,9.8,,35.7,64.5,0,0,1,,,,,,,31740.758852699626,10.365356902197233,79.26474999999999,,,,,40.00,0,1
PRT,Portugal,Portugal (four registries)*,EUR,HIC,22.7,,,,,0,0,1,27.4348959925,63.647521975000004,9.692955495,2623.2386248850476,6.131,4.18625,27134.405336703676,10.208557771265795,80.14817073170732,4.05348,2013,1,1,1.92,1,1
QAT,Qatar,Qatar*,EMR,HIC,36.1,10.0,§,84.0,26.7,1,1,0,13.351547479999999,76.9617939025,1.8236407074999998,2810.5748933316754,6.211,4.048,169102.213042828,12.038258621985115,80.22775,0.92222,2013,1,0,0.41,0,0
ROU,Romania,Romania (Cluj),EUR,UMC,34.0,8.4,§,43.9,16.6,1,0,0,21.627783774999997,77.6709060675,4.9618318100000005,933.3454106910474,5.915000000000001,2.5595,18911.063017708875,9.84750237465258,74.3359756097561,1.15215,2013,0,0,1.61,1,1
RUS,Russia,Russia (five registries),EUR,UMC,22.8,,,,,0,0,0,34.43749428,62.52943992749999,4.945863485,1168.3837392872474,5.5874999999999995,4.29575,23393.228515625,10.06020187979327,69.79402439024389,2.27537,2013,1,1,0.20,1,1
SGP,Singapore,Singapore*,WPR,HIC,34.4,13.9,,24.4,59.1,0,0,1,38.743380544999994,38.54521846749999,3.33959031,2685.7872090090477,5.54525,1.9015,80162.24823176446,11.291807962728836,81.8817073170732,3.51089,2013,1,1,1.33,0,0
SVK,Slovakia,Slovakia*,EUR,HIC,28.5,7.9,,28.2,39.8,0,0,1,23.231735705,71.8852996825,7.498278025,2000.6698250427573,6.23225,3.35625,26670.3922169434,10.191309323365013,75.89817073170732,4.77045,2013,1,1,7.74,1,1
SVN,Slovenia,Slovenia*,EUR,HIC,24.8,8.5,,28.7,63.5,0,0,1,12.437908887499999,71.4463939675,8.7182595725,2503.0303225226203,8.320500000000001,2.52875,28678.95972854375,10.263919022387096,79.95975609756097,5.79151,2013,1,1,15.18,1,1
SWE,Sweden,Sweden*,EUR,HIC,31.6,6.2,,30.5,49.7,0,0,1,15.189641715,83.78132248,10.1617631925,4545.969028327403,11.665,3.9265,44397.29842166433,10.70093390021019,81.72865853658539,6.9,2014,1,1,38.50,0,1
THA,Thailand,Thailand (six registries),SEAR,UMC,14.7,6.5,,30.6,51.1,0,0,0,13.367048262499999,75.5576858525,3.483606695,487.6922360950178,2.023,0.383,13998.07912413455,9.546675393764911,75.46600000000001,0.97,2013,0,0,0.40,1,1
TUR,Turkiye,Turkey (nine registries),EUR,UMC,35.6,9.5,,23.0,39.2,0,0,0,16.406449795,78.66194725,4.622257830000001,917.7948369849005,2.41625,1.7145,20099.5178830735,9.908451107842758,75.3775,2.02849,2013,0,1,0.85,1,1
TWN,Taiwan,Taiwan*,WPR,HIC,28.4,12.0,,25.0,48.7,0,0,1,,,,,,,,,,,,,,0.86,1,0
URY,Uruguay,Uruguay*,AMR,HIC,,,,,,0,0,1,19.0154089925,63.038595202500005,7.977644679999999,1593.4065116383524,,,19291.175592978572,9.867403047172862,76.73725,3.8156,2013,1,1,2.51,1,1
USA,United States,USA (48 registries),AMR,HIC,36.5,10.3,,30.7,60.0,0,0,0,12.3265285475,49.115591050000006,16.1023135175,8131.603495677829,10.977500000000001,,50918.32319811657,10.837978122005737,78.66646341463417,12.36991,2013,1,1,55.71,0,1
ZAF,South Africa,South Africa (Eastern Cape),AFR,UMC,51.6,,,,,1,1,0,7.769509792499999,51.519033432499995,7.9613595,1037.9736459522928,1.0765000000000002,0.7145,13034.180107550676,9.475330425083694,60.90325,0.56844,2013,,0,1.86,1,1
